Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
2018-04-07,19:25:00,Sydney,GWS Giants,SCG,103,87,NA,16,7,12,15,1.55,2.44
2018-04-07,14:35:00,Gold Coast,Fremantle,Optus Stadium,68,96,NA,10,8,13,18,2.49,1.53
2018-04-07,14:10:00,Melbourne,North Melbourne,MCG,123,86,NA,18,15,13,8,1.35,3.18
2018-04-07,13:15:00,Port Adelaide,Brisbane,Adelaide Oval,97,92,NA,14,13,14,8,1.06,9.45
2018-04-06,19:50:00,Carlton,Collingwood,MCG,76,100,NA,11,10,16,4,2.53,1.51
2018-04-02,15:20:00,Geelong,Hawthorn,MCG,117,118,NA,18,9,17,16,1.7,2.15
2018-04-01,16:40:00,Sydney,Port Adelaide,SCG,71,94,NA,10,11,14,10,1.44,2.76
2018-04-01,15:20:00,Western Bulldogs,West Coast,Marvel Stadium,70,121,NA,9,16,18,13,1.68,2.18
2018-03-31,16:40:00,Fremantle,Essendon,Optus Stadium,106,90,NA,16,10,14,6,2.49,1.53
2018-03-31,18:25:00,Brisbane,Melbourne,Gabba,74,100,NA,10,14,14,16,3.33,1.32
2018-03-31,16:35:00,Collingwood,GWS Giants,MCG,79,95,NA,12,7,15,5,2.9,1.41
2018-03-31,13:45:00,Carlton,Gold Coast,Marvel Stadium,67,101,NA,9,13,15,11,1.54,2.46
2018-03-30,16:20:00,North Melbourne,St Kilda,Marvel Stadium,95,43,NA,13,17,5,13,3.1,1.37
2018-03-29,19:20:00,Adelaide,Richmond,Adelaide Oval,118,82,NA,18,10,12,10,1.8,2.01
2018-03-25,16:20:00,West Coast,Sydney,Optus Stadium,86,115,NA,13,8,18,7,3.2,1.34
2018-03-25,15:20:00,Melbourne,Geelong,MCG,94,97,NA,13,16,14,13,1.71,2.15
2018-03-25,12:10:00,GWS Giants,Western Bulldogs,UNSW Canberra Oval,133,51,NA,20,13,7,9,1.32,3.34
2018-03-24,18:25:00,Gold Coast,North Melbourne,Cazaly’s Stadium,55,39,NA,7,13,5,9,1.93,1.86
2018-03-24,19:25:00,Hawthorn,Collingwood,MCG,101,67,NA,15,11,9,13,1.74,2.08
2018-03-24,16:05:00,Port Adelaide,Fremantle,Adelaide Oval,110,60,NA,16,14,9,6,1.19,4.54
2018-03-24,15:35:00,St Kilda,Brisbane,Marvel Stadium,107,82,NA,16,11,12,10,1.33,3.29
2018-03-23,19:50:00,Essendon,Adelaide,Marvel Stadium,99,87,NA,14,15,12,15,1.81,1.99
2018-03-22,19:25:00,Richmond,Carlton,MCG,121,95,NA,17,19,15,5,1.19,4.65
2017-09-30,14:30:00,Adelaide,Richmond,MCG,60,108,Y,8,12,16,12,1.64,2.26
2017-09-23,16:45:00,Richmond,GWS Giants,MCG,103,67,Y,15,13,9,13,1.54,2.5
2017-09-22,19:20:00,Adelaide,Geelong,Adelaide Oval,136,75,Y,21,10,10,15,1.43,2.85
2017-09-16,19:25:00,GWS Giants,West Coast,Spotless Stadium,125,58,Y,19,11,9,4,1.42,2.88
2017-09-15,19:50:00,Geelong,Sydney,MCG,98,39,Y,15,8,5,9,3.1,1.37
2017-09-09,19:20:00,Port Adelaide,West Coast,Adelaide Oval,76,78,Y,10,16,12,6,1.47,2.68
2017-09-09,16:20:00,Sydney,Essendon,SCG,121,56,Y,19,7,8,8,1.16,5.24
2017-09-08,19:50:00,Geelong,Richmond,MCG,40,91,Y,5,10,13,13,1.79,2.01
2017-09-07,19:20:00,Adelaide,GWS Giants,Adelaide Oval,84,48,Y,12,12,6,12,1.54,2.48
2017-08-27,14:40:00,West Coast,Adelaide,Domain Stadium,100,71,NA,15,10,10,11,1.87,1.93
2017-08-27,15:20:00,Richmond,St Kilda,MCG,122,81,NA,19,8,12,9,1.5,2.56
2017-08-27,13:10:00,Essendon,Fremantle,Marvel Stadium,107,92,NA,16,11,14,8,1.1,6.96
2017-08-26,19:40:00,Port Adelaide,Gold Coast,Adelaide Oval,135,20,NA,20,15,3,2,1.05,10.47
2017-08-26,19:25:00,Geelong,GWS Giants,GMHBA Stadium,103,59,NA,15,13,8,11,2.21,1.66
2017-08-26,16:35:00,Sydney,Carlton,SCG,138,57,NA,21,12,8,9,1.06,9.19
2017-08-26,14:10:00,Brisbane,North Melbourne,Gabba,79,130,NA,11,13,19,16,1.44,2.8
2017-08-26,13:45:00,Collingwood,Melbourne,MCG,99,83,NA,14,15,12,11,3.1,1.37
2017-08-25,19:50:00,Hawthorn,Western Bulldogs,Marvel Stadium,99,90,NA,15,9,13,12,1.89,1.91
2017-08-20,14:40:00,Fremantle,Richmond,Domain Stadium,51,155,NA,7,9,25,5,3.98,1.24
2017-08-20,15:20:00,St Kilda,North Melbourne,Marvel Stadium,127,78,NA,18,19,12,6,1.32,3.33
2017-08-20,13:10:00,Melbourne,Brisbane,MCG,104,91,NA,16,8,14,7,1.11,6.44
2017-08-19,19:25:00,Carlton,Hawthorn,Marvel Stadium,77,70,NA,12,5,10,10,3.73,1.27
2017-08-19,19:25:00,Gold Coast,Essendon,Metricon Stadium,57,90,NA,9,3,12,18,3.13,1.36
2017-08-19,16:35:00,GWS Giants,West Coast,Spotless Stadium,81,60,NA,12,9,9,6,1.19,4.74
2017-08-19,14:10:00,Collingwood,Geelong,MCG,59,70,NA,9,5,10,10,2.57,1.5
2017-08-19,13:45:00,Western Bulldogs,Port Adelaide,Mars Stadium,79,96,NA,11,13,14,12,1.9,1.88
2017-08-18,19:20:00,Adelaide,Sydney,Adelaide Oval,80,83,NA,11,14,13,5,1.61,2.3
2017-08-13,16:10:00,Port Adelaide,Collingwood,Adelaide Oval,98,71,NA,14,14,10,11,1.35,3.16
2017-08-13,15:20:00,Hawthorn,North Melbourne,University of Tasmania Stadium,116,89,NA,18,8,14,5,1.34,3.21
2017-08-13,13:10:00,Melbourne,St Kilda,MCG,96,72,NA,14,12,10,12,1.57,2.43
2017-08-12,19:40:00,West Coast,Carlton,Domain Stadium,100,83,NA,15,10,12,11,1.12,6.21
2017-08-12,19:25:00,Essendon,Adelaide,Marvel Stadium,80,123,NA,12,8,18,15,3.7,1.27
2017-08-12,16:35:00,Brisbane,Gold Coast,Gabba,142,84,NA,22,10,12,12,1.46,2.69
2017-08-12,14:10:00,Geelong,Richmond,GMHBA Stadium,80,66,NA,11,14,9,12,2.25,1.64
2017-08-12,13:45:00,Sydney,Fremantle,SCG,143,39,NA,22,11,5,9,1.05,9.58
