Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
13678,20/06/2010,R13,West Coast,9,5,59,Footscray,17,17,119,Subiaco,-60,2010,Regular,13,,0
13679,25/06/2010,R13,St Kilda,10,10,70,Geelong,6,10,46,M.C.G.,24,2010,Regular,13,,0
13680,26/06/2010,R13,Sydney,10,11,71,Collingwood,13,18,96,Stadium Australia,-25,2010,Regular,13,,0
13681,27/06/2010,R13,Adelaide,16,21,117,Melbourne,11,7,73,Football Park,44,2010,Regular,13,,0
13682,1/07/2010,R14,Carlton,18,12,120,Brisbane Lions,9,11,65,Docklands,55,2010,Regular,14,,0
13683,2/07/2010,R14,Hawthorn,12,7,79,Footscray,11,10,76,M.C.G.,3,2010,Regular,14,,0
13684,3/07/2010,R14,Fremantle,17,13,115,Port Adelaide,8,10,58,Subiaco,57,2010,Regular,14,,0
13685,3/07/2010,R14,Collingwood,20,15,135,West Coast,7,10,52,Docklands,83,2010,Regular,14,,0
13686,3/07/2010,R14,Adelaide,19,10,124,Essendon,5,10,40,Football Park,84,2010,Regular,14,,0
13687,4/07/2010,R14,Geelong,14,14,98,North Melbourne,9,9,63,Kardinia Park,35,2010,Regular,14,,0
13688,4/07/2010,R14,Richmond,14,5,89,Sydney,12,13,85,M.C.G.,4,2010,Regular,14,,0
13689,4/07/2010,R14,St Kilda,15,10,100,Melbourne,9,11,65,Docklands,35,2010,Regular,14,,0
13690,9/07/2010,R15,Port Adelaide,12,7,79,Collingwood,16,9,105,Football Park,-26,2010,Regular,15,,0
13691,10/07/2010,R15,Geelong,12,13,85,Hawthorn,11,17,83,M.C.G.,2,2010,Regular,15,,0
13692,10/07/2010,R15,West Coast,14,11,95,Adelaide,17,15,117,Subiaco,-22,2010,Regular,15,,0
13693,10/07/2010,R15,Richmond,15,10,100,Fremantle,11,15,81,Docklands,19,2010,Regular,15,,0
13694,10/07/2010,R15,Brisbane Lions,10,5,65,St Kilda,11,13,79,Gabba,-14,2010,Regular,15,,0
13695,11/07/2010,R15,Sydney,12,13,85,North Melbourne,7,13,55,S.C.G.,30,2010,Regular,15,,0
13696,11/07/2010,R15,Melbourne,19,8,122,Essendon,14,19,103,M.C.G.,19,2010,Regular,15,,0
13697,11/07/2010,R15,Carlton,8,10,58,Footscray,20,6,126,Docklands,-68,2010,Regular,15,,0
13698,16/07/2010,R16,Adelaide,11,8,74,Geelong,9,9,63,Football Park,11,2010,Regular,16,,0
13699,17/07/2010,R16,Collingwood,15,10,100,St Kilda,6,16,52,M.C.G.,48,2010,Regular,16,,0
13700,17/07/2010,R16,Hawthorn,17,16,118,Brisbane Lions,7,1,43,York Park,75,2010,Regular,16,,0
13701,17/07/2010,R16,Essendon,14,16,100,West Coast,20,12,132,Docklands,-32,2010,Regular,16,,0
13702,17/07/2010,R16,Footscray,12,11,83,Port Adelaide,7,5,47,Marrara Oval,36,2010,Regular,16,,0
13703,18/07/2010,R16,Carlton,10,8,68,Sydney,16,11,107,Docklands,-39,2010,Regular,16,,0
13704,18/07/2010,R16,Richmond,7,11,53,North Melbourne,15,13,103,M.C.G.,-50,2010,Regular,16,,0
13705,18/07/2010,R16,Fremantle,11,16,82,Melbourne,10,11,71,Subiaco,11,2010,Regular,16,,0
13706,23/07/2010,R17,St Kilda,14,3,87,Hawthorn,13,9,87,Docklands,0,2010,Regular,17,,0
13707,24/07/2010,R17,Collingwood,19,13,127,Richmond,6,9,45,M.C.G.,82,2010,Regular,17,,0
13708,24/07/2010,R17,Geelong,19,13,127,Brisbane Lions,9,10,64,Kardinia Park,63,2010,Regular,17,,0
13709,24/07/2010,R17,North Melbourne,18,11,119,Essendon,18,14,122,Docklands,-3,2010,Regular,17,,0
13710,24/07/2010,R17,West Coast,11,17,83,Carlton,15,19,109,Subiaco,-26,2010,Regular,17,,0
13711,25/07/2010,R17,Footscray,24,14,158,Fremantle,12,4,76,Docklands,82,2010,Regular,17,,0
13712,25/07/2010,R17,Melbourne,22,10,142,Sydney,10,9,69,M.C.G.,73,2010,Regular,17,,0
13713,25/07/2010,R17,Port Adelaide,13,10,88,Adelaide,9,15,69,Football Park,19,2010,Regular,17,,0
13714,30/07/2010,R18,Essendon,16,12,108,St Kilda,11,9,75,Docklands,33,2010,Regular,18,,0
13715,31/07/2010,R18,Collingwood,15,15,105,Carlton,9,3,57,M.C.G.,48,2010,Regular,18,,0
13716,31/07/2010,R18,Port Adelaide,13,14,92,Hawthorn,12,12,84,Football Park,8,2010,Regular,18,,0
13717,31/07/2010,R18,Sydney,9,18,72,Geelong,20,5,125,Stadium Australia,-53,2010,Regular,18,,0
13718,31/07/2010,R18,Brisbane Lions,9,10,64,Melbourne,11,8,74,Gabba,-10,2010,Regular,18,,0
13719,1/08/2010,R18,Richmond,15,10,100,Adelaide,11,14,80,M.C.G.,20,2010,Regular,18,,0
13720,1/08/2010,R18,Footscray,22,11,143,North Melbourne,10,12,72,Docklands,71,2010,Regular,18,,0
13721,1/08/2010,R18,Fremantle,24,16,160,West Coast,13,7,85,Subiaco,75,2010,Regular,18,,0
13722,6/08/2010,R19,Essendon,9,19,73,Carlton,23,11,149,M.C.G.,-76,2010,Regular,19,,0
13723,7/08/2010,R19,North Melbourne,19,9,123,Fremantle,10,9,69,Docklands,54,2010,Regular,19,,0
13724,7/08/2010,R19,Sydney,19,15,129,Hawthorn,13,7,85,S.C.G.,44,2010,Regular,19,,0
13725,7/08/2010,R19,Geelong,12,13,85,Collingwood,14,23,107,M.C.G.,-22,2010,Regular,19,,0
13726,7/08/2010,R19,West Coast,9,11,65,Brisbane Lions,10,10,70,Subiaco,-5,2010,Regular,19,,0
13727,8/08/2010,R19,St Kilda,23,13,151,Port Adelaide,8,9,57,Docklands,94,2010,Regular,19,,0
13728,8/08/2010,R19,Melbourne,16,13,109,Richmond,11,14,80,M.C.G.,29,2010,Regular,19,,0
13729,8/08/2010,R19,Adelaide,7,11,53,Footscray,8,13,61,Football Park,-8,2010,Regular,19,,0
13730,13/08/2010,R20,Essendon,10,4,64,Collingwood,24,18,162,M.C.G.,-98,2010,Regular,20,,0
13731,14/08/2010,R20,Carlton,23,18,156,Richmond,10,7,67,M.C.G.,89,2010,Regular,20,,0
13732,14/08/2010,R20,Fremantle,13,9,87,Sydney,14,12,96,Subiaco,-9,2010,Regular,20,,0
13733,14/08/2010,R20,Footscray,9,6,60,Geelong,25,11,161,Docklands,-101,2010,Regular,20,,0
13734,14/08/2010,R20,Port Adelaide,8,13,61,West Coast,8,12,60,Football Park,1,2010,Regular,20,,0
13735,15/08/2010,R20,Brisbane Lions,13,19,97,Adelaide,15,14,104,Gabba,-7,2010,Regular,20,,0
13736,15/08/2010,R20,Hawthorn,15,9,99,Melbourne,12,6,78,M.C.G.,21,2010,Regular,20,,0
13737,15/08/2010,R20,North Melbourne,9,9,63,St Kilda,17,13,115,Docklands,-52,2010,Regular,20,,0
13738,20/08/2010,R21,Geelong,18,13,121,Carlton,12,7,79,Docklands,42,2010,Regular,21,,0
13739,21/08/2010,R21,Hawthorn,24,11,155,Fremantle,5,9,39,York Park,116,2010,Regular,21,,0
13740,21/08/2010,R21,St Kilda,17,13,115,Richmond,14,10,94,Docklands,21,2010,Regular,21,,0
13741,21/08/2010,R21,Collingwood,6,18,54,Adelaide,7,9,51,M.C.G.,3,2010,Regular,21,,0
13742,21/08/2010,R21,Sydney,17,12,114,Footscray,10,10,70,S.C.G.,44,2010,Regular,21,,0
13743,22/08/2010,R21,Port Adelaide,17,10,112,Melbourne,11,17,83,Football Park,29,2010,Regular,21,,0
13744,22/08/2010,R21,Essendon,10,8,68,Brisbane Lions,14,11,95,Docklands,-27,2010,Regular,21,,0
13745,22/08/2010,R21,West Coast,14,10,94,North Melbourne,16,14,110,Subiaco,-16,2010,Regular,21,,0
